State,Sex,Age group,COVID-19 Deaths
Colorado,Female,65-74 years,166
Colorado,Female,75-84 years,316
Colorado,Female,85 years and over,521
Colorado,Unknown,All Ages,0
Colorado,Unknown,0-17 years,0
Colorado,Unknown,18-29 years,0
Colorado,Unknown,30-49 years,0
Colorado,Unknown,50-64 years,0
Colorado,Unknown,65-74 years,0
Colorado,Unknown,75-84 years,0
Colorado,Unknown,85 years and over,0
Connecticut,All Sexes,All Ages,4577
Connecticut,Male,All Ages,2199
Connecticut,Male,0-17 years,0
Connecticut,Male,18-29 years,0
Connecticut,Male,30-49 years,59
Connecticut,Male,50-64 years,296
Connecticut,Male,65-74 years,475
Connecticut,Male,75-84 years,604
Connecticut,Male,85 years and over,761
Connecticut,Female,All Ages,2378
Connecticut,Female,0-17 years,0
Connecticut,Female,18-29 years,0
Connecticut,Female,30-49 years,25
Connecticut,Female,50-64 years,146
Connecticut,Female,65-74 years,311
Connecticut,Female,75-84 years,594
Connecticut,Female,85 years and over,1299
Connecticut,Unknown,All Ages,0
Connecticut,Unknown,0-17 years,0
Connecticut,Unknown,18-29 years,0
Connecticut,Unknown,30-49 years,0
Connecticut,Unknown,50-64 years,0
Connecticut,Unknown,65-74 years,0
Connecticut,Unknown,75-84 years,0
Connecticut,Unknown,85 years and over,0
Delaware,All Sexes,All Ages,641
Delaware,Male,All Ages,301
Delaware,Male,0-17 years,0
Delaware,Male,18-29 years,0
Delaware,Male,30-49 years,11
Delaware,Male,50-64 years,46
Delaware,Male,65-74 years,82
Delaware,Male,75-84 years,87
Delaware,Male,85 years and over,73
Delaware,Female,All Ages,340
Delaware,Female,0-17 years,0
Delaware,Female,18-29 years,0
Delaware,Female,30-49 years,0
Delaware,Female,50-64 years,42
Delaware,Female,65-74 years,49
Delaware,Female,75-84 years,92
Delaware,Female,85 years and over,146
Delaware,Unknown,All Ages,0
Delaware,Unknown,0-17 years,0
Delaware,Unknown,18-29 years,0
Delaware,Unknown,30-49 years,0
Delaware,Unknown,50-64 years,0
Delaware,Unknown,65-74 years,0
Delaware,Unknown,75-84 years,0
Delaware,Unknown,85 years and over,0
Florida,All Sexes,All Ages,17342
Florida,Male,All Ages,9720
Florida,Male,0-17 years,0
Florida,Male,18-29 years,41
Florida,Male,30-49 years,438
Florida,Male,50-64 years,1601
Florida,Male,65-74 years,2316
Florida,Male,75-84 years,2910
Florida,Male,85 years and over,2411
Florida,Female,All Ages,7622
Florida,Female,0-17 years,0
Florida,Female,18-29 years,21
Florida,Female,30-49 years,234
Florida,Female,50-64 years,833
Florida,Female,65-74 years,1447
Florida,Female,75-84 years,2162
Florida,Female,85 years and over,2919
Florida,Unknown,All Ages,0
Florida,Unknown,0-17 years,0
Florida,Unknown,18-29 years,0
Florida,Unknown,30-49 years,0
Florida,Unknown,50-64 years,0
Florida,Unknown,65-74 years,0
Florida,Unknown,75-84 years,0
Florida,Unknown,85 years and over,0
Georgia,All Sexes,All Ages,7544
Georgia,Male,All Ages,3980
Georgia,Male,0-17 years,0
Georgia,Male,18-29 years,20
Georgia,Male,30-49 years,234
Georgia,Male,50-64 years,816
Georgia,Male,65-74 years,1128
Georgia,Male,75-84 years,1102
Georgia,Male,85 years and over,673
Georgia,Female,All Ages,3564
Georgia,Female,0-17 years,0
Georgia,Female,18-29 years,18
Georgia,Female,30-49 years,177
Georgia,Female,50-64 years,555
Georgia,Female,65-74 years,797
Georgia,Female,75-84 years,950
Georgia,Female,85 years and over,1066
Georgia,Unknown,All Ages,0
Georgia,Unknown,0-17 years,0
Georgia,Unknown,18-29 years,0
Georgia,Unknown,30-49 years,0
Georgia,Unknown,50-64 years,0
Georgia,Unknown,65-74 years,0
Georgia,Unknown,75-84 years,0
Georgia,Unknown,85 years and over,0
Hawaii,All Sexes,All Ages,299
Hawaii,Male,All Ages,188
Hawaii,Male,0-17 years,0
Hawaii,Male,18-29 years,0
Hawaii,Male,30-49 years,0
Hawaii,Male,50-64 years,42
Hawaii,Male,65-74 years,49
Hawaii,Male,75-84 years,45
Hawaii,Male,85 years and over,45
Hawaii,Female,All Ages,111
Hawaii,Female,0-17 years,0
Hawaii,Female,18-29 years,0
Hawaii,Female,30-49 years,0
Hawaii,Female,50-64 years,18
Hawaii,Female,65-74 years,18
Hawaii,Female,75-84 years,21
Hawaii,Female,85 years and over,48
Hawaii,Unknown,All Ages,0
Hawaii,Unknown,0-17 years,0
Hawaii,Unknown,18-29 years,0
Hawaii,Unknown,30-49 years,0
Hawaii,Unknown,50-64 years,0
Hawaii,Unknown,65-74 years,0
Hawaii,Unknown,75-84 years,0
Hawaii,Unknown,85 years and over,0
Idaho,All Sexes,All Ages,853
Idaho,Male,All Ages,480
Idaho,Male,0-17 years,0
Idaho,Male,18-29 years,0
Idaho,Male,30-49 years,15
Idaho,Male,50-64 years,48
Idaho,Male,65-74 years,109
Idaho,Male,75-84 years,162
Idaho,Male,85 years and over,144
Idaho,Female,All Ages,373
Idaho,Female,0-17 years,0
Idaho,Female,18-29 years,0
Idaho,Female,30-49 years,10
Idaho,Female,50-64 years,28
Idaho,Female,65-74 years,69
Idaho,Female,75-84 years,99
Idaho,Female,85 years and over,167
Idaho,Unknown,All Ages,0
Idaho,Unknown,0-17 years,0
Idaho,Unknown,18-29 years,0
Idaho,Unknown,30-49 years,0
Idaho,Unknown,50-64 years,0
Idaho,Unknown,65-74 years,0
Idaho,Unknown,75-84 years,0
Idaho,Unknown,85 years and over,0
Illinois,All Sexes,All Ages,10093
Illinois,Male,All Ages,5493
Illinois,Male,0-17 years,0
Illinois,Male,18-29 years,28
Illinois,Male,30-49 years,335
Illinois,Male,50-64 years,1002
Illinois,Male,65-74 years,1337
Illinois,Male,75-84 years,1476
Illinois,Male,85 years and over,1313
Illinois,Female,All Ages,4600
Illinois,Female,0-17 years,0
Illinois,Female,18-29 years,14
Illinois,Female,30-49 years,133
Illinois,Female,50-64 years,516
Illinois,Female,65-74 years,766
Illinois,Female,75-84 years,1147
Illinois,Female,85 years and over,2023
Illinois,Unknown,All Ages,0
Illinois,Unknown,0-17 years,0
Illinois,Unknown,18-29 years,0
Illinois,Unknown,30-49 years,0
Illinois,Unknown,50-64 years,0
Illinois,Unknown,65-74 years,0
Illinois,Unknown,75-84 years,0
Illinois,Unknown,85 years and over,0
Indiana,All Sexes,All Ages,5074
Indiana,Male,All Ages,2585
Indiana,Male,0-17 years,0
Indiana,Male,18-29 years,0
Indiana,Male,30-49 years,77
Indiana,Male,50-64 years,348
Indiana,Male,65-74 years,646
Indiana,Male,75-84 years,776
Indiana,Male,85 years and over,731
Indiana,Female,All Ages,2489
Indiana,Female,0-17 years,0
Indiana,Female,18-29 years,0
Indiana,Female,30-49 years,48
Indiana,Female,50-64 years,213
Indiana,Female,65-74 years,401
Indiana,Female,75-84 years,701
Indiana,Female,85 years and over,1120
Indiana,Unknown,All Ages,0
Indiana,Unknown,0-17 years,0
Indiana,Unknown,18-29 years,0
Indiana,Unknown,30-49 years,0
Indiana,Unknown,50-64 years,0
Indiana,Unknown,65-74 years,0
Indiana,Unknown,75-84 years,0
Indiana,Unknown,85 years and over,0
Iowa,All Sexes,All Ages,2450
Iowa,Male,All Ages,1268
Iowa,Male,0-17 years,0
Iowa,Male,18-29 years,0
Iowa,Male,30-49 years,44
Iowa,Male,50-64 years,186
Iowa,Male,65-74 years,240
Iowa,Male,75-84 years,349
Iowa,Male,85 years and over,446
Iowa,Female,All Ages,1182
Iowa,Female,0-17 years,0
Iowa,Female,18-29 years,0
Iowa,Female,30-49 years,16
Iowa,Female,50-64 years,102
Iowa,Female,65-74 years,177
Iowa,Female,75-84 years,315
Iowa,Female,85 years and over,567
Iowa,Unknown,All Ages,0
Iowa,Unknown,0-17 years,0
Iowa,Unknown,18-29 years,0
Iowa,Unknown,30-49 years,0
Iowa,Unknown,50-64 years,0
Iowa,Unknown,65-74 years,0
Iowa,Unknown,75-84 years,0
Iowa,Unknown,85 years and over,0
Kansas,All Sexes,All Ages,1514
Kansas,Male,All Ages,847
Kansas,Male,0-17 years,0
Kansas,Male,18-29 years,0
Kansas,Male,30-49 years,40
Kansas,Male,50-64 years,114
Kansas,Male,65-74 years,181
Kansas,Male,75-84 years,263
Kansas,Male,85 years and over,246
Kansas,Female,All Ages,667
Kansas,Female,0-17 years,0
Kansas,Female,18-29 years,0
Kansas,Female,30-49 years,13
Kansas,Female,50-64 years,60
Kansas,Female,65-74 years,109
Kansas,Female,75-84 years,184
Kansas,Female,85 years and over,296
Kansas,Unknown,All Ages,0
Kansas,Unknown,0-17 years,0
Kansas,Unknown,18-29 years,0
Kansas,Unknown,30-49 years,0
Kansas,Unknown,50-64 years,0
Kansas,Unknown,65-74 years,0
Kansas,Unknown,75-84 years,0
Kansas,Unknown,85 years and over,0
Kentucky,All Sexes,All Ages,2003
Kentucky,Male,All Ages,958
Kentucky,Male,0-17 years,0
Kentucky,Male,18-29 years,0
Kentucky,Male,30-49 years,37
Kentucky,Male,50-64 years,140
Kentucky,Male,65-74 years,267
Kentucky,Male,75-84 years,269
Kentucky,Male,85 years and over,244
Kentucky,Female,All Ages,1045
Kentucky,Female,0-17 years,0
Kentucky,Female,18-29 years,0
Kentucky,Female,30-49 years,17
Kentucky,Female,50-64 years,112
Kentucky,Female,65-74 years,180
Kentucky,Female,75-84 years,279
Kentucky,Female,85 years and over,456
Kentucky,Unknown,All Ages,0
Kentucky,Unknown,0-17 years,0
Kentucky,Unknown,18-29 years,0
Kentucky,Unknown,30-49 years,0
Kentucky,Unknown,50-64 years,0
Kentucky,Unknown,65-74 years,0
Kentucky,Unknown,75-84 years,0
Kentucky,Unknown,85 years and over,0
Louisiana,All Sexes,All Ages,5506
Louisiana,Male,All Ages,2916
Louisiana,Male,0-17 years,0
Louisiana,Male,18-29 years,15
Louisiana,Male,30-49 years,150
Louisiana,Male,50-64 years,538
Louisiana,Male,65-74 years,774
Louisiana,Male,75-84 years,847
Louisiana,Male,85 years and over,586
Louisiana,Female,All Ages,2590
Louisiana,Female,0-17 years,0
Louisiana,Female,18-29 years,11
Louisiana,Female,30-49 years,109
Louisiana,Female,50-64 years,400
Louisiana,Female,65-74 years,507
Louisiana,Female,75-84 years,772
Louisiana,Female,85 years and over,789
Louisiana,Unknown,All Ages,0
Louisiana,Unknown,0-17 years,0
Louisiana,Unknown,18-29 years,0
Louisiana,Unknown,30-49 years,0
Louisiana,Unknown,50-64 years,0
Louisiana,Unknown,65-74 years,0
Louisiana,Unknown,75-84 years,0
Louisiana,Unknown,85 years and over,0
Maine,All Sexes,All Ages,200
Maine,Male,All Ages,97
Maine,Male,0-17 years,0
Maine,Male,18-29 years,0
Maine,Male,30-49 years,0
Maine,Male,50-64 years,10
Maine,Male,65-74 years,26
Maine,Male,75-84 years,27
Maine,Male,85 years and over,29
Maine,Female,All Ages,103
Maine,Female,0-17 years,0
Maine,Female,18-29 years,0
Maine,Female,30-49 years,0
Maine,Female,50-64 years,0
Maine,Female,65-74 years,10
Maine,Female,75-84 years,34
Maine,Female,85 years and over,53
Maine,Unknown,All Ages,0
Maine,Unknown,0-17 years,0
Maine,Unknown,18-29 years,0
Maine,Unknown,30-49 years,0
Maine,Unknown,50-64 years,0
Maine,Unknown,65-74 years,0
Maine,Unknown,75-84 years,0
Maine,Unknown,85 years and over,0
Maryland,All Sexes,All Ages,4727
Maryland,Male,All Ages,2418
Maryland,Male,0-17 years,0
Maryland,Male,18-29 years,20
Maryland,Male,30-49 years,153
Maryland,Male,50-64 years,460
Maryland,Male,65-74 years,533
Maryland,Male,75-84 years,681
Maryland,Male,85 years and over,569
Maryland,Female,All Ages,2309
Maryland,Female,0-17 years,0
Maryland,Female,18-29 years,0
Maryland,Female,30-49 years,62
Maryland,Female,50-64 years,266
Maryland,Female,65-74 years,406
Maryland,Female,75-84 years,619
Maryland,Female,85 years and over,947
Maryland,Unknown,All Ages,0
Maryland,Unknown,0-17 years,0
Maryland,Unknown,18-29 years,0
Maryland,Unknown,30-49 years,0
Maryland,Unknown,50-64 years,0
Maryland,Unknown,65-74 years,0
Maryland,Unknown,75-84 years,0
Maryland,Unknown,85 years and over,0
Massachusetts,All Sexes,All Ages,8478
Massachusetts,Male,All Ages,3981
Massachusetts,Male,0-17 years,0
Massachusetts,Male,18-29 years,0
Massachusetts,Male,30-49 years,83
Massachusetts,Male,50-64 years,439
Massachusetts,Male,65-74 years,783
Massachusetts,Male,75-84 years,1202
Massachusetts,Male,85 years and over,1467
Massachusetts,Female,All Ages,4497
Massachusetts,Female,0-17 years,0
Massachusetts,Female,18-29 years,0
Massachusetts,Female,30-49 years,39
Massachusetts,Female,50-64 years,263
Massachusetts,Female,65-74 years,521
Massachusetts,Female,75-84 years,1113
Massachusetts,Female,85 years and over,2555
Massachusetts,Unknown,All Ages,0
Massachusetts,Unknown,0-17 years,0
Massachusetts,Unknown,18-29 years,0
Massachusetts,Unknown,30-49 years,0
Massachusetts,Unknown,50-64 years,0
Massachusetts,Unknown,65-74 years,0
Massachusetts,Unknown,75-84 years,0
Massachusetts,Unknown,85 years and over,0
Michigan,All Sexes,All Ages,7237
Michigan,Male,All Ages,3834
Michigan,Male,0-17 years,0
Michigan,Male,18-29 years,14
Michigan,Male,30-49 years,187
Michigan,Male,50-64 years,663
Michigan,Male,65-74 years,1001
Michigan,Male,75-84 years,1093
Michigan,Male,85 years and over,876
Michigan,Female,All Ages,3402
Michigan,Female,0-17 years,0
Michigan,Female,18-29 years,12
Michigan,Female,30-49 years,103
Michigan,Female,50-64 years,388
Michigan,Female,65-74 years,697
Michigan,Female,75-84 years,869
Michigan,Female,85 years and over,1332
Michigan,Unknown,All Ages,0
Michigan,Unknown,0-17 years,0
Michigan,Unknown,18-29 years,0
Michigan,Unknown,30-49 years,0
Michigan,Unknown,50-64 years,0
Michigan,Unknown,65-74 years,0
Michigan,Unknown,75-84 years,0
Michigan,Unknown,85 years and over,0
Minnesota,All Sexes,All Ages,3104
Minnesota,Male,All Ages,1582
Minnesota,Male,0-17 years,0
Minnesota,Male,18-29 years,0
Minnesota,Male,30-49 years,37
Minnesota,Male,50-64 years,188
Minnesota,Male,65-74 years,276
Minnesota,Male,75-84 years,484
Minnesota,Male,85 years and over,594
Minnesota,Female,All Ages,1522
Minnesota,Female,0-17 years,0
Minnesota,Female,18-29 years,0
Minnesota,Female,30-49 years,20
Minnesota,Female,50-64 years,92
Minnesota,Female,65-74 years,201
Minnesota,Female,75-84 years,374
Minnesota,Female,85 years and over,831
Minnesota,Unknown,All Ages,0
Minnesota,Unknown,0-17 years,0
Minnesota,Unknown,18-29 years,0
Minnesota,Unknown,30-49 years,0
Minnesota,Unknown,50-64 years,0
Minnesota,Unknown,65-74 years,0
Minnesota,Unknown,75-84 years,0
Minnesota,Unknown,85 years and over,0
Mississippi,All Sexes,All Ages,3526
Mississippi,Male,All Ages,1776
Mississippi,Male,0-17 years,0
Mississippi,Male,18-29 years,11
Mississippi,Male,30-49 years,93
Mississippi,Male,50-64 years,335
Mississippi,Male,65-74 years,518
Mississippi,Male,75-84 years,498
Mississippi,Male,85 years and over,321
Mississippi,Female,All Ages,1749
Mississippi,Female,0-17 years,0
Mississippi,Female,18-29 years,13
Mississippi,Female,30-49 years,96
Mississippi,Female,50-64 years,308
Mississippi,Female,65-74 years,360
Mississippi,Female,75-84 years,444
Mississippi,Female,85 years and over,528
Mississippi,Unknown,All Ages,0
Mississippi,Unknown,0-17 years,0
Mississippi,Unknown,18-29 years,0
Mississippi,Unknown,30-49 years,0
Mississippi,Unknown,50-64 years,0
Mississippi,Unknown,65-74 years,0
Mississippi,Unknown,75-84 years,0
Mississippi,Unknown,85 years and over,0
Missouri,All Sexes,All Ages,3805
Missouri,Male,All Ages,1946
Missouri,Male,0-17 years,0
Missouri,Male,18-29 years,0
Missouri,Male,30-49 years,48
Missouri,Male,50-64 years,257
Missouri,Male,65-74 years,445
Missouri,Male,75-84 years,617
Missouri,Male,85 years and over,574
Missouri,Female,All Ages,1859
Missouri,Female,0-17 years,0
Missouri,Female,18-29 years,0
Missouri,Female,30-49 years,39
Missouri,Female,50-64 years,171
Missouri,Female,65-74 years,335
Missouri,Female,75-84 years,470
Missouri,Female,85 years and over,839
Missouri,Unknown,All Ages,0
Missouri,Unknown,0-17 years,0
Missouri,Unknown,18-29 years,0
Missouri,Unknown,30-49 years,0
Missouri,Unknown,50-64 years,0
Missouri,Unknown,65-74 years,0
Missouri,Unknown,75-84 years,0
Missouri,Unknown,85 years and over,0
Montana,All Sexes,All Ages,513
Montana,Male,All Ages,290
Montana,Male,0-17 years,0
Montana,Male,18-29 years,0
Montana,Male,30-49 years,0
Montana,Male,50-64 years,41
Montana,Male,65-74 years,77
Montana,Male,75-84 years,86
Montana,Male,85 years and over,77
Montana,Female,All Ages,223
Montana,Female,0-17 years,0
Montana,Female,18-29 years,0
Montana,Female,30-49 years,0
Montana,Female,50-64 years,29
Montana,Female,65-74 years,34
Montana,Female,75-84 years,59
Montana,Female,85 years and over,92
Montana,Unknown,All Ages,0
Montana,Unknown,0-17 years,0
Montana,Unknown,18-29 years,0
Montana,Unknown,30-49 years,0
Montana,Unknown,50-64 years,0
Montana,Unknown,65-74 years,0
Montana,Unknown,75-84 years,0
Montana,Unknown,85 years and over,0
Nebraska,All Sexes,All Ages,984
Nebraska,Male,All Ages,562
Nebraska,Male,0-17 years,0
Nebraska,Male,18-29 years,0
Nebraska,Male,30-49 years,23
Nebraska,Male,50-64 years,83
Nebraska,Male,65-74 years,131
Nebraska,Male,75-84 years,171
Nebraska,Male,85 years and over,147
Nebraska,Female,All Ages,422
Nebraska,Female,0-17 years,0
Nebraska,Female,18-29 years,0
Nebraska,Female,30-49 years,0
Nebraska,Female,50-64 years,50
Nebraska,Female,65-74 years,62
Nebraska,Female,75-84 years,105
Nebraska,Female,85 years and over,194
Nebraska,Unknown,All Ages,0
Nebraska,Unknown,0-17 years,0
Nebraska,Unknown,18-29 years,0
Nebraska,Unknown,30-49 years,0
Nebraska,Unknown,50-64 years,0
Nebraska,Unknown,65-74 years,0
Nebraska,Unknown,75-84 years,0
Nebraska,Unknown,85 years and over,0
Nevada,All Sexes,All Ages,1847
Nevada,Male,All Ages,1164
Nevada,Male,0-17 years,0
Nevada,Male,18-29 years,0
Nevada,Male,30-49 years,92
Nevada,Male,50-64 years,253
Nevada,Male,65-74 years,311
Nevada,Male,75-84 years,324
Nevada,Male,85 years and over,178
Nevada,Female,All Ages,683
Nevada,Female,0-17 years,0
Nevada,Female,18-29 years,0
Nevada,Female,30-49 years,30
Nevada,Female,50-64 years,113
Nevada,Female,65-74 years,177
Nevada,Female,75-84 years,199
Nevada,Female,85 years and over,158
Nevada,Unknown,All Ages,0
Nevada,Unknown,0-17 years,0
Nevada,Unknown,18-29 years,0
Nevada,Unknown,30-49 years,0
Nevada,Unknown,50-64 years,0
Nevada,Unknown,65-74 years,0
Nevada,Unknown,75-84 years,0
Nevada,Unknown,85 years and over,0
New Hampshire,All Sexes,All Ages,491
New Hampshire,Male,All Ages,241
New Hampshire,Male,0-17 years,0
New Hampshire,Male,18-29 years,0
New Hampshire,Male,30-49 years,0
New Hampshire,Male,50-64 years,20
New Hampshire,Male,65-74 years,38
New Hampshire,Male,75-84 years,77
New Hampshire,Male,85 years and over,100
New Hampshire,Female,All Ages,250
New Hampshire,Female,0-17 years,0
New Hampshire,Female,18-29 years,0
New Hampshire,Female,30-49 years,0
New Hampshire,Female,50-64 years,0
New Hampshire,Female,65-74 years,31
New Hampshire,Female,75-84 years,62
New Hampshire,Female,85 years and over,150
New Hampshire,Unknown,All Ages,0
New Hampshire,Unknown,0-17 years,0
New Hampshire,Unknown,18-29 years,0
New Hampshire,Unknown,30-49 years,0
New Hampshire,Unknown,50-64 years,0
New Hampshire,Unknown,65-74 years,0
New Hampshire,Unknown,75-84 years,0
New Hampshire,Unknown,85 years and over,0
New Jersey,All Sexes,All Ages,14897
New Jersey,Male,All Ages,7965
New Jersey,Male,0-17 years,0
New Jersey,Male,18-29 years,40
New Jersey,Male,30-49 years,497
New Jersey,Male,50-64 years,1682
New Jersey,Male,65-74 years,1822
New Jersey,Male,75-84 years,2047
New Jersey,Male,85 years and over,1877
New Jersey,Female,All Ages,6931
New Jersey,Female,0-17 years,0
New Jersey,Female,18-29 years,18
New Jersey,Female,30-49 years,156
New Jersey,Female,50-64 years,737
New Jersey,Female,65-74 years,1068
New Jersey,Female,75-84 years,1807
New Jersey,Female,85 years and over,3144
New Jersey,Unknown,All Ages,0
New Jersey,Unknown,0-17 years,0
New Jersey,Unknown,18-29 years,0
New Jersey,Unknown,30-49 years,0
New Jersey,Unknown,50-64 years,0
New Jersey,Unknown,65-74 years,0
New Jersey,Unknown,75-84 years,0
New Jersey,Unknown,85 years and over,0
New Mexico,All Sexes,All Ages,1134
New Mexico,Male,All Ages,598
New Mexico,Male,0-17 years,0
New Mexico,Male,18-29 years,0
New Mexico,Male,30-49 years,65
New Mexico,Male,50-64 years,128
New Mexico,Male,65-74 years,142
New Mexico,Male,75-84 years,127
New Mexico,Male,85 years and over,127
New Mexico,Female,All Ages,536
New Mexico,Female,0-17 years,0
New Mexico,Female,18-29 years,0
New Mexico,Female,30-49 years,32
New Mexico,Female,50-64 years,86
New Mexico,Female,65-74 years,98
New Mexico,Female,75-84 years,151
New Mexico,Female,85 years and over,165
New Mexico,Unknown,All Ages,0
New Mexico,Unknown,0-17 years,0
New Mexico,Unknown,18-29 years,0
New Mexico,Unknown,30-49 years,0
New Mexico,Unknown,50-64 years,0
New Mexico,Unknown,65-74 years,0
New Mexico,Unknown,75-84 years,0
New Mexico,Unknown,85 years and over,0
New York,All Sexes,All Ages,33407
New York,Male,All Ages,19001
New York,Male,0-17 years,0
New York,Male,18-29 years,95
New York,Male,30-49 years,1193
New York,Male,50-64 years,4091
New York,Male,65-74 years,4891
New York,Male,75-84 years,4901
New York,Male,85 years and over,3819
New York,Female,All Ages,14405
New York,Female,0-17 years,0
New York,Female,18-29 years,39
New York,Female,30-49 years,431
New York,Female,50-64 years,1872
New York,Female,65-74 years,2694
New York,Female,75-84 years,3768
New York,Female,85 years and over,5594
New York,Unknown,All Ages,0
New York,Unknown,0-17 years,0
